Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00305344035948829,-0.00338745849691838,0.100965563427593,0,0,0,0.814210475882044,0.00118018301524935,2.08835646344978E-09,6.7603208754862E-09,0.00119645608639718,5.61531419761453E-07,0.00110389008068325,0,0,0,0,0,0,package://123.SLDASM/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://123.SLDASM/meshes/base_link.STL,,头-1;补充块-2;身体-1;补充块-1;LX-2241.-2;LX-2241.-1;el051-2;el051-3;电池模型6s 360g-1;电池模型2s 93g-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_leg_pitch_link,-0.00155494227550507,2.67600506309584E-07,0.0254526954337937,0,0,0,0.041075547020313,1.28418427034844E-05,3.49100163068815E-10,-1.05304531926152E-07,1.17019573106062E-05,-4.89454585343287E-10,1.31847221797211E-05,0,0,0,0,0,0,package://123.SLDASM/meshes/r_leg_pitch_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://123.SLDASM/meshes/r_leg_pitch_link.STL,,连接-1/电机支架2026update-2;连接-1/膝关节大1-1;连接-1/膝关节大2-1,r_leg_pitch_joint,A_r_leg_pitch_joint,r_leg_pitch_joint,revolute,0,0.0524999999999998,0.0229999999999997,-1.5707963267949,-0.0393008918408269,0,base_link,0,0,1,5,10,-0.785,0.785,,,,,,,,
r_leg_roll_link,0.0271633882398319,0.000274769439934486,-0.0198820061824354,0,0,0,0.0875819869450013,2.67976119248356E-05,-3.73756512525615E-08,-9.79992664810337E-07,2.14819819516993E-05,1.33487953922285E-08,2.19446862063486E-05,0,0,0,0,0,0,package://123.SLDASM/meshes/r_leg_roll_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://123.SLDASM/meshes/r_leg_roll_link.STL,,连接-1/小连接-1;连接-1/电机支架2026update-1;连接-1/EL05_ASM_1-1/PRT0001_1-1;连接-1/EL05_ASM_1-1/LUOSI_1_1-1;连接-1/EL05_ASM_1-1/LUOSI_1_1-2;连接-1/EL05_ASM_1-1/LUOSI_1_1-3;连接-1/EL05_ASM_1-1/LUOSI_1_1-4;连接-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-1305_1_1-1;连接-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/000_1-4238_1_1-1;连接-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-4459_1_1-1;连接-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-4459_1_1-2;连接-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-4459_1_1-3;连接-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/200_1_1_1-1;连接-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-5178_1_1-1;连接-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-5178_1_1-2;连接-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-5178_1_1-3;连接-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-8689_1_1-1;连接-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-13413_1_1-1;连接-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/1000_1-541385_1_1-1;连接-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/100_1_1_1-1;el051-1,r_leg_roll_joint,A_r_leg_roll_joint,r_leg_roll_joint,revolute,0.0235499999995432,0,0.0495000000006334,1.5707963267949,0,1.5707963267949,r_leg_pitch_link,0,0,1,5,10,-0.1,0.785,,,,,,,,
r_leg_yaw_link,2.93685066043992E-07,-0.00360651118457667,-0.0629558066513985,0,0,0,0.0374272991081408,1.09142773778488E-05,3.49100163069927E-10,4.89454585340005E-10,1.2054162770727E-05,1.05304531926151E-07,1.16510118969336E-05,0,0,0,0,0,0,package://123.SLDASM/meshes/r_leg_yaw_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://123.SLDASM/meshes/r_leg_yaw_link.STL,,膝关节-1/膝关节大1-1;膝关节-1/膝关节大2-1,r_leg_yaw_joint,A_r_leg_yaw_joint,r_leg_yaw_joint,revolute,0.0391985218465625,0.000340419361709143,-0.021750121446741,-1.57079632679491,1.51416024628277,1.57948060335854,r_leg_roll_link,0,0,1,5,10,-0.785,0.785,,,,,,,,
r_knee_pitch_link,0.00954002664046405,-0.0624980272767335,-0.0233034978058451,0,0,0,0.142221471018387,6.58565677206596E-05,-4.7586528098867E-06,-5.07659440488601E-07,3.54951496499682E-05,3.24230411496504E-06,7.46661596523766E-05,0,0,0,0,0,0,package://123.SLDASM/meshes/r_knee_pitch_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://123.SLDASM/meshes/r_knee_pitch_link.STL,,脚部总装配体111-1/踝关节5-1;脚部总装配体111-1/踝关节6new-1;膝关节-1/膝关节小1-1;膝关节-1/膝关节小2-1;膝关节-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-1305_1_1-1;膝关节-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/100_1_1_1-1;膝关节-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/000_1-4238_1_1-1;膝关节-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-4459_1_1-1;膝关节-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-4459_1_1-2;膝关节-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/200_1_1_1-1;膝关节-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-4459_1_1-3;膝关节-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-5178_1_1-1;膝关节-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-5178_1_1-2;膝关节-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-5178_1_1-3;膝关节-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-13413_1_1-1;膝关节-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-8689_1_1-1;膝关节-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/1000_1-541385_1_1-1;膝关节-1/EL05_ASM_1-1/PRT0001_1-1;膝关节-1/EL05_ASM_1-1/LUOSI_1_1-2;膝关节-1/EL05_ASM_1-1/LUOSI_1_1-1;膝关节-1/EL05_ASM_1-1/LUOSI_1_1-3;膝关节-1/EL05_ASM_1-1/LUOSI_1_1-4;脚部总装配体111-1/el051-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-1305_1_1-1;脚部总装配体111-1/el051-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/1000_1-541385_1_1-1;脚部总装配体111-1/el051-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-13413_1_1-1;脚部总装配体111-1/el051-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-8689_1_1-1;脚部总装配体111-1/el051-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-5178_1_1-3;脚部总装配体111-1/el051-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-5178_1_1-2;脚部总装配体111-1/el051-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-5178_1_1-1;脚部总装配体111-1/el051-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/200_1_1_1-1;脚部总装配体111-1/el051-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-4459_1_1-3;脚部总装配体111-1/el051-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-4459_1_1-2;脚部总装配体111-1/el051-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/00_1-4459_1_1-1;脚部总装配体111-1/el051-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/000_1-4238_1_1-1;脚部总装配体111-1/el051-1/EL05_ASM_1-1/EL05_ASM_1_ASM_1-1/_2025_7_15_0001_ASM_1_ASM_1_ASM-1/100_1_1_1-1;脚部总装配体111-1/el051-1/EL05_ASM_1-1/LUOSI_1_1-4;脚部总装配体111-1/el051-1/EL05_ASM_1-1/LUOSI_1_1-3;脚部总装配体111-1/el051-1/EL05_ASM_1-1/LUOSI_1_1-2;脚部总装配体111-1/el051-1/EL05_ASM_1-1/LUOSI_1_1-1;脚部总装配体111-1/el051-1/EL05_ASM_1-1/PRT0001_1-1,r_knee_pitch_joint,A_r_knee_pitch_joint,r_knee_pitch_joint,revolute,0,0.0216500000001082,-0.0849999999999912,1.57078585839456,0.154400660281563,3.13854916595925,r_leg_yaw_link,0.00300727729212515,0.000457582548802386,0.999995373440047,5,10,-0.785,0.785,,,,,,,,
r_ankle_pitch_link,0.000819986668388673,0.000114188833970519,-0.0215175951614893,0,0,0,0.0821087036561465,2.78888159977842E-05,2.31209258411437E-06,-4.97822929145352E-14,4.42244355160153E-05,3.58636159058922E-13,4.95210385574329E-05,0,0,0,0,0,0,package://123.SLDASM/meshes/r_ankle_pitch_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://123.SLDASM/meshes/r_ankle_pitch_link.STL,,脚部总装配体111-1/踝关节2-1;脚部总装配体111-1/踝关节3-1;脚部总装配体111-1/踝关节4-1;脚部总装配体111-1/踝关节1-1,r_ankle_pitch_joint,A_r_ankle_pitch_joint,r_ankle_pitch_joint,revolute,0.0204982868585911,-0.133930671624734,-0.000751085885703329,-0.000457743314945541,0.00300725767602795,-5.34539377118544E-05,r_knee_pitch_link,0,0,-1,5,10,-0.3925,0.3925,,,,,,,,
